ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
83,Akyab,MM,2022-04-07 17:28:15,20.15,92.9,80.02,79,75,6.29,broken clouds
84,Wad Madani,SD,2022-04-07 17:28:16,14.4012,33.5199,101.71,12,3,9.04,clear sky
85,Bredasdorp,ZA,2022-04-07 17:24:55,-34.5322,20.0403,58.71,67,52,6.46,broken clouds
86,Souillac,MU,2022-04-07 17:24:48,-20.5167,57.5167,79.18,83,40,10.36,light rain
87,Bandarban,BD,2022-04-07 17:28:17,22.1965,92.2262,80.31,73,45,1.1,scattered clouds
88,Mandal,IN,2022-04-07 17:28:17,25.45,74.5667,86.86,9,2,8.25,clear sky
89,Ostrovnoy,RU,2022-04-07 17:19:49,68.0531,39.5131,20.59,86,51,10.38,broken clouds
90,Klaksvik,FO,2022-04-07 17:29:18,62.2266,-6.589,36.52,76,100,34.29,overcast clouds
91,Pisco,PE,2022-04-07 17:25:23,-13.7,-76.2167,71.02,78,0,8.05,clear sky
92,East London,ZA,2022-04-07 17:29:06,-33.0153,27.9116,58.14,82,0,10.36,clear sky
93,Bouca,CF,2022-04-07 17:29:18,6.5105,18.2733,85.77,46,46,14.14,scattered clouds
94,Mount Gambier,AU,2022-04-07 17:29:19,-37.8333,140.7667,55.31,94,0,9.22,clear sky
95,Barabai,ID,2022-04-07 17:29:19,-2.5833,115.3833,73.65,97,66,2.15,broken clouds
96,Abadan,IR,2022-04-07 17:29:20,30.3392,48.3043,85.95,19,2,4.61,dust
97,Bayir,TR,2022-04-07 17:29:20,37.2687,28.2167,63.12,68,79,8.16,broken clouds
98,Maniwaki,CA,2022-04-07 17:25:42,46.3834,-75.966,43.18,93,100,10.36,overcast clouds
99,Bani,DO,2022-04-07 17:29:21,18.2833,-70.3333,85.44,53,14,15.77,few clouds
100,Skjervoy,NO,2022-04-07 17:29:21,70.0311,20.9714,33.8,70,99,14.18,overcast clouds
101,Sandwick,GB,2022-04-07 17:29:22,60.0,-1.25,42.62,52,20,16.11,few clouds
102,Provideniya,RU,2022-04-07 17:29:22,64.3833,-173.3,-7.47,93,91,2.3,overcast clouds
103,Baneh,IR,2022-04-07 17:29:23,35.9975,45.8853,55.44,51,44,14.83,scattered clouds
104,Gillette,US,2022-04-07 17:24:59,44.2911,-105.5022,42.12,38,20,29.93,few clouds
